Rank,Physical,Artist,Url
3,I'll Make Love to You,Boyz II Men,https://www.tencymusic.com/song.php?id=11463
5,Candle in The Wind 1997,Elton John,https://www.tencymusic.com/song.php?id=58312
5,Something About the Way You Look Tonight,Elton John,https://www.tencymusic.com/song.php?id=9570
6,End of The Road,Boyz II Men,https://www.tencymusic.com/song.php?id=10061
11,The Sign,Ace of Base,https://www.tencymusic.com/song.php?id=10111
12,How Do I Live,LeAnn Rimes,https://www.tencymusic.com/song.php?id=10363
14,On Bended Knee,Boyz II Men,https://www.tencymusic.com/song.php?id=10081
15,Fantasy,Mariah Carey,https://www.tencymusic.com/song.php?id=21733
16,Too Close,Next,https://www.tencymusic.com/song.php?id=42495
17,That's the Way Love Goes,Janet Jackson,https://www.tencymusic.com/song.php?id=6471
19,Waterfalls,TLC,https://www.tencymusic.com/song.php?id=10836
21,Creep,TLC,https://www.tencymusic.com/song.php?id=10075
23,Jump,Kris Kross,https://www.tencymusic.com/song.php?id=6403
24,Take a Bow,Madonna,https://www.tencymusic.com/song.php?id=18791
25,Tha Crossroads,Bone Thugs-N-Harmony,https://www.tencymusic.com/song.php?id=35516
26,The First Night,Monica,https://www.tencymusic.com/song.php?id=19042
28,Informer,Snow,https://www.tencymusic.com/song.php?id=13921
29,This Is How We Do It,Montell Jordan,https://www.tencymusic.com/song.php?id=14062
30,Baby Got Back,Sir Mix-A-Lot,https://www.tencymusic.com/song.php?id=14483
31,Believe,Cher,https://www.tencymusic.com/song.php?id=9348
32,Freak Me,Silk,https://www.tencymusic.com/song.php?id=10058
33,No Scrubs,TLC,https://www.tencymusic.com/song.php?id=8520
34,You're Still the One,Shania Twain,https://www.tencymusic.com/song.php?id=9899
35,Wannabe,Spice Girls,https://www.tencymusic.com/song.php?id=11342
36,No Diggity,BlackStreet,https://www.tencymusic.com/song.php?id=34082
38,Livin' La Vida Loca,Ricky Martin,https://www.tencymusic.com/song.php?id=8526
39,Black or White,Michael Jackson,https://www.tencymusic.com/song.php?id=6094
42,Stay (I Missed You),Lisa Loeb,https://www.tencymusic.com/song.php?id=11445
43,Genie in a Bottle,Christina Aguilera,https://www.tencymusic.com/song.php?id=8629
44,Whoomp! (There It Is),Tag Team,https://www.tencymusic.com/song.php?id=10057
45,You Make Me Wanna,Usher,https://www.tencymusic.com/song.php?id=19930
46,If You Had My Love,Jennifer Lopez,https://www.tencymusic.com/song.php?id=8585
49,Always Be My Baby,Mariah Carey,https://www.tencymusic.com/song.php?id=10784
52,Exhale (Shoop Shoop),Whitney Houston,https://www.tencymusic.com/song.php?id=14627
53,Hero,Mariah Carey,https://www.tencymusic.com/song.php?id=11396
54,Have You Ever Really Loved a Woman?,Bryan Adams,https://www.tencymusic.com/song.php?id=7131
55,Bump N' Grind,R. Kelly,https://www.tencymusic.com/song.php?id=26027
57,MMMBop,Hanson,https://www.tencymusic.com/song.php?id=10221
58,Kiss from a Rose,Seal,https://www.tencymusic.com/song.php?id=10816
59,Weak,SWV,https://www.tencymusic.com/song.php?id=6474
60,Nobody's Supposed to Be Here,Deborah Cox,https://www.tencymusic.com/song.php?id=21743
61,Nobody Knows,The Tony Rich Project,https://www.tencymusic.com/song.php?id=18379
62,Angel of Mine,Monica,https://www.tencymusic.com/song.php?id=9300
63,Truly Madly Deeply,Savage Garden,https://www.tencymusic.com/song.php?id=9700
64,Rush Rush,Paula Abdul,https://www.tencymusic.com/song.php?id=29556
65,Here Comes the Hotstepper,Ini Kamoze,https://www.tencymusic.com/song.php?id=10043
66,If I Ever Fall in Love,Shai,https://www.tencymusic.com/song.php?id=54909
67,Foolish Games,Jewel,https://www.tencymusic.com/song.php?id=8458
67,You Were Meant for Me,Jewel,https://www.tencymusic.com/song.php?id=11209
68,You're Makin' Me High,Toni Braxton,https://www.tencymusic.com/song.php?id=11343
68,Let It Flow,Toni Braxton,https://www.tencymusic.com/song.php?id=11040
70,All That She Wants,Ace of Base,https://www.tencymusic.com/song.php?id=7115
71,I Love You Always Forever,Donna Lewis,https://www.tencymusic.com/song.php?id=13670
73,I Don't Want to Miss a Thing,Aerosmith,https://www.tencymusic.com/song.php?id=9151
74,Together Again,Janet Jackson,https://www.tencymusic.com/song.php?id=9725
76,Unpretty,TLC,https://www.tencymusic.com/song.php?id=8630
79,I'm Too Sexy,Right Said Fred,https://www.tencymusic.com/song.php?id=6382
81,My Way,Usher,https://www.tencymusic.com/song.php?id=63250
83,Don't Let Go (Love),En Vogue,https://www.tencymusic.com/song.php?id=11211
86,Quit Playing Games (With My Heart),Backstreet Boys,https://www.tencymusic.com/song.php?id=10301
87,I Believe I Can Fly,R. Kelly,https://www.tencymusic.com/song.php?id=11188
88,Hypnotize,The Notorious B.I.G.,https://www.tencymusic.com/song.php?id=27626
89,Twisted,Keith Sweat,https://www.tencymusic.com/song.php?id=34204
90,To Be with You,Mr. Big,https://www.tencymusic.com/song.php?id=7189
91,Vision of Love,Mariah Carey,https://www.tencymusic.com/song.php?id=6395
92,Rump Shaker,Wreckx-N-Effect,https://www.tencymusic.com/song.php?id=34086
93,Vogue,Madonna,https://www.tencymusic.com/song.php?id=6330
94,All 4 Love,Color Me Badd,https://www.tencymusic.com/song.php?id=33134
99,My All,Mariah Carey,https://www.tencymusic.com/song.php?id=9874
100,Return of the Mack,Mark Morrison,https://www.tencymusic.com/song.php?id=10239
